,ID,Count
0,18288,482.68358331072994
1,18289,385.2067521914677
2,18290,326.00355891575936
3,18291,269.3650939491552
4,18292,226.7254135994673
5,18293,202.95664388532805
6,18294,218.23350381347038
7,18295,253.09322236932047
8,18296,291.4526370794
9,18297,376.62048785229314
10,18298,534.5700098718369
11,18299,592.6409485094125
12,18300,598.9198151390589
13,18301,529.6978838532044
14,18302,566.3760719793897
15,18303,559.2222813111862
16,18304,544.9490107213892
17,18305,557.6439869671219
18,18306,571.3682856111574
19,18307,606.2794702869228
20,18308,582.6136328126133
21,18309,543.808178396603
22,18310,545.7810463266833
23,18311,532.8802056012903
24,18312,367.0398941664139
25,18313,292.91703808688726
26,18314,247.8980348608319
27,18315,204.82928981567923
28,18316,172.4054322328451
29,18317,154.3313003957833
30,18318,165.94805564724754
31,18319,192.45591266125626
32,18320,221.62499154084486
33,18321,286.38791287256095
34,18322,406.49511736467673
35,18323,450.6531370459858
36,18324,455.4276821577612
37,18325,402.7902790812227
38,18326,430.68092784891536
39,18327,425.2410772707452
40,18328,414.3874665248519
41,18329,424.0409183901896
42,18330,434.4770825689331
43,18331,461.0240751986124
44,18332,443.0282145928908
45,18333,413.51996037749325
46,18334,415.0201589781877
47,18335,405.2101646501691
48,18336,361.5699803212859
49,18337,288.5517606672646
50,18338,244.20366562572502
51,18339,201.7767645015167
52,18340,169.83611245116998
53,18341,152.03133537784237
54,18342,163.47496871151137
55,18343,189.58778503269596
56,18344,218.32216362234618
57,18345,282.119937552721
58,18346,400.43721111037223
59,18347,443.93715365329075
60,18348,448.6405447820082
61,18349,396.78758520721453
62,18350,424.26258584436687
63,18351,418.90380414853314
64,18352,408.21194234773316
65,18353,417.72153096863684
66,18354,428.00216731555986
67,18355,454.1535360230456
68,18356,436.42586372231955
69,18357,407.3573644513946
70,18358,408.83520592626485
71,18359,399.17140776015754
72,18360,511.0088284981048
73,18361,407.8117797517931
74,18362,345.1343747494132
75,18363,285.17220360616284
76,18364,240.03030556692346
77,18365,214.86671685907126
78,18366,231.04006636779923
79,18367,267.94545233268923
80,18368,308.55590657358226
81,18369,398.72164900601206
82,18370,565.9400981097242
83,18371,627.418804552221
84,18372,634.0661329297554
85,18373,560.7820618823479
86,18374,599.6126303828084
87,18375,592.0390349362733
88,18376,576.9281682419877
89,18377,590.3681217921935
90,18378,604.8978013059296
91,18379,641.8576735689965
92,18380,616.8030574574967
93,18381,575.7203886324075
94,18382,577.8090300625072
95,18383,564.1511313195957
96,18384,504.63594914731726
97,18385,402.72588861792246
98,18386,340.830144357637
99,18387,281.6157718061063
100,18388,237.03684617326383
101,18389,212.1870769259076
102,18390,228.15872579979498
103,18391,264.60385832280264
104,18392,304.70785257548266
105,18393,393.7491224625263
106,18394,558.8821614090483
107,18395,619.5941562862048
108,18396,626.1585846835577
109,18397,553.78845194225
110,18398,592.1347577169506
111,18399,584.6556138871798
112,18400,569.7331974210663
113,18401,583.0055389894844
114,18402,597.3540163607472
115,18403,633.8529556738973
116,18404,609.110800006825
117,18405,568.5404802395793
118,18406,570.6030738616985
119,18407,557.1155051327119
120,18408,520.0274445499931
121,18409,415.0091071909848
122,18410,351.22553059367084
123,18411,290.20510806801684
124,18412,244.26651646192474
125,18413,218.65882437975165
126,18414,235.11761167616115
127,18415,272.6743278876191
128,18416,314.0015018289679
129,18417,405.75854790760184
130,18418,575.9281769228057
131,18419,638.4918995486848
132,18420,645.2565442993707
133,18421,570.6791083184486
134,18422,610.1949839385755
135,18423,602.487724755417
136,18424,587.1101716609619
137,18425,600.78732224978
138,18426,615.5734309944485
139,18427,653.1855951136992
140,18428,627.6887988471105
141,18429,585.8810763715604
142,18430,588.0065795036066
143,18431,574.1076372836187
144,18432,503.79510596512284
145,18433,402.05485176787295
146,18434,340.2622404981246
147,18435,281.1465331358893
148,18436,236.6418865665009
149,18437,211.83352292864606
150,18438,227.7785592473108
151,18439,264.16296553538035
152,18440,304.20013702166193
153,18441,393.0930430340253
154,18442,557.950931170963
155,18443,618.5617654648195
156,18444,625.1152559674936
157,18445,552.8657090322762
158,18446,591.1481207664758
159,18447,583.6814389642489
160,18448,568.783886783307
161,18449,582.0341134827022
162,18450,596.358682887454
163,18451,632.7968063107917
164,18452,608.0958769434719
165,18453,567.5931569515362
166,18454,569.6523138034694
167,18455,556.1872185630032
168,18456,491.24726889097315
169,18457,392.04102131354546
170,18458,331.78745559906054
171,18459,274.14412114343264
172,18460,230.74793523113118
173,18461,206.55746426694122
